"Proposta","Processo","Endereço","Distrito","Área Terreno (m2)","Área Excedente (m2)","Valor Contrapartida (R$)"
"1327","2009-0.108.544-4","R DR NICOLAU DE SOUSA QUEIROS 00412","VILA MARIANA","1.674,89","1.664,79","538.975,76"
"1328","2010-0.152.761-1","R AIMBERE 00942","PERDIZES","1.500,00","746,82","305.300,02"
"1329","2008-0.351.750-1","AV IMPERATRIZ LEOPOLDINA 01248 1248A 1248FDS","VILA LEOPOLDINA","2.979,00","4.467,46","2.205.138,26"
"1330","2010-0.151.483-8","R  VALDEMAR BLAKAUSKAS 00101","MORUMBI","121,20","10,17","7.908,19"
"1331","2009-0.134.948-4","AV CEL.SEZEFREDO FAGUNDES 00797 751 741 737 711","TUCURUVI","5.781,03","5.499,35","1.060.329,67"
"1332","2006-0.309.558-1","R  HENRIQUE SCHAUMANN 00550","JARDIM PAULISTA","1.212,55","596,98","190.078,43"
"1332","2006-0.309.558-1","R  HENRIQUE SCHAUMANN 00550","JARDIM PAULISTA","1.212,55","109,22","69.551,30"
"1333","2009-0.278.612-8","R SOLDADO OCIMAR G. DA SILVA 00033 E 37 ANTIGA RUA","AGUA RASA","4.639,98","6.954,73","1.806.143,38"
"1334","2009-0.368.680-1","R  BORGES LAGOA 00971 A","VILA MARIANA","900,00","899,51","534.758,70"
"1335","2010-0.155.804-5","R  JACI 00045","SAUDE","2.799,50","1.399,75","337.059,80"
"1336","2010-0.129.191-0","R  ANTONIO DE BARROS 02674","TATUAPE","3.158,00","3.149,71","1.123.344,07"
"1337","2010-0.054.523-3","R  VISCONDE DE TAUNAY 00250","BOM RETIRO","6.541,86","11.548,03","2.061.323,36"
"1338","2009-0.336.216-0","R  ALVARO GUIMARAES 00009","BELA VISTA","957,77","1.915,51","1.546.008,12"
"1339","2010-0.170.090-9","R  MARQUES DE LAGES 01380","SACOMA","4.373,62","2.179,96","263.993,16"
"1340","2009-0.317.278-6","AV LINO DE ALMEIDA PIRES 99999","JABAQUARA","1.004,97","1.001,29","287.770,75"
"1341","2010-0.205.446-6","R  BOM PASTOR 02732 2742","IPIRANGA","2.713,00","2.713,00","974.238,30"
"1342","2006-0.275.054-3","R  BORGES DE FIGUEIREDO 99999","MOOCA","7.400,00","8.168,86","1.376.191,51"
"1343","2010-0.065.127-0","R  CUIABA 00055 59","MOOCA","1.287,95","1.287,53","211.283,67"
"1344","2010-0.027.785-9","R  CONDE PRATES 00577","MOOCA","1.276,24","637,76","100.638,53"
"1345","2010-0.133.723-5","R  TAQUARYTINGA 00170 /182","MOOCA","2.742,00","4.113,00","1.406.646,00"
"1346","2010-0.139.404-2","R  JOAO MOURA 00994","JARDIM PAULISTA","1.996,00","997,96","962.732,01"
"1347","2010-0.059.136-7","AV LINS DE VASCONCELOS 01894","VILA MARIANA","273,60","29,77","23.518,30"
"1348","2010-0.174.350-0","R  GUANDU 99999 ENTRE N S 2 E 44","VILA FORMOSA","2.095,00","4.190,00","1.070.964,00"
"1349","2010-0.139.100-0","R  JACI 00073","SAUDE","2.945,00","1.472,40","354.553,92"
"1350","2008-0.318.974-1","R  PAULO DE FARIA 00194 FD E 198","TUCURUVI","1.123,00","1.683,51","252.526,50"
"1351","2010-0.260.522-5","R  JOAO ANTONIO DE OLIVEIRA 99999","MOOCA","0,00","4.657,43","0,00"
"1352","2010-0.144.970-0","R  CARLOS SAMPAIO 00075","BELA VISTA","872,14","1.270,00","1.467.739,00"
"1353","2010-0.223.838-9","R PROFESSOR JOAO MACHADO 00663 705","FREGUESIA DO O","7.007,95","2.625,42","311.978,66"
"1354","2010-0.254.098-0","R  PAIM 00363","BELA VISTA","2.031,20","2.800,00","1.225.000,00"
"1355","2010-0.202.909-7","R  BIGUACU 00366 E 388","CARRAO","2.705,44","5.410,88","719.105,95"
"1356","2008-0.320.866-5","R  DOUTOR FRANCO DA ROCHA 00488 498","PERDIZES","4.483,03","2.241,51","1.318.007,88"
"1357","2010-0.136.307-4","AV ALBERTO BYINGTON 00446 E 450","VILA MARIA","3.032,28","2.310,93","260.187,61"
"1358","2010-0.067.520-0","R OSWALDO DO AROUCA 00513","CARRAO","3.584,35","1.792,17","223.662,82"
"1359","2009-0.323.066-2","R  APOTRIBU 00244","SAUDE","1.013,43","506,71","148.440,69"
"1360","2010-0.193.530-2","AV DAS NACOES UNIDAS 21711","CAMPO GRANDE","1.530,00","486,59","177.118,76"
"1361","2009-0.310.589-2","R  CONSELHEIRO BROTERO 00926","SANTA CECILIA","1.596,00","798,00","414.640,80"
"1362","2010-0.125.255-8","AV IMPERATRIZ LEOPOLDINA 99999 931,941,951,E971","VILA LEOPOLDINA","6.096,00","3.046,80","1.011.537,60"
"1363","2010-0.097.772-9","R  BELA CINTRA 99999","CONSOLACAO","884,00","1.767,88","1.420.049,61"
"1364","2010-0.168.477-6","R  CASTELHANO 00001 LT 19 QD 43 VL A","VILA ANDRADE","4.336,10","2.158,68","283.218,82"
"1365","2009-0.300.513-8","R  DOUTOR GIOVANI RECORDATI 00153","SAO DOMINGOS","3.660,00","5.406,13","1.154.262,82"
"1366","2010-0.132.092-8","AV CONSELHEIRO CARRAO 99999","CARRAO","2.959,75","1.479,87","291.682,38"
"1367","2008-0.209.815-7","R  NELSON GAMA DE OLIVEIRA 00005 LT 11 QD 43 VL A","VILA ANDRADE","4.853,50","2.415,89","322.762,90"
"1368","2010-0.101.166-6","R  MARQUES MARICA 00696","SACOMA","2.042,65","1.967,66","279.604,49"
"1369","2010-0.246.485-0","R  JOHN HARRISON 00323","LAPA","1.700,00","2.549,96","1.236.220,61"
"1370","2009-0.265.538-4","R  MUNIZ DE SOUSA 00830","LIBERDADE","579,11","262,37","39.615,25"
"1371","2010-0.101.155-0","R  IRU 00136","VILA FORMOSA","1.997,05","998,00","120.358,80"
"1372","2010-0.152.231-8","R  FIANDEIRAS 00930","ITAIM BIBI","3.200,00","4.594,00","10.438.486,80"
"1373","2009-0.334.103-0","R  NOVA JERUSALEM 01075 E 1075 B","CARRAO","1.630,00","843,65","128.096,44"
"1374","2005-0.022.227-0","R ADRIANO RACINE 99999","SACOMA","6.446,20","4.435,66","269.246,78"
"1375","2010-0.246.395-1","R  SILVA BUENO 00269","IPIRANGA","1.150,88","968,64","276.982,61"
"1376","2010-0.097.098-8","AV BRIGADEIRO LUIS ANTONIO 02503","VILA MARIANA","852,00","850,10","1.014.169,30"
"1377","2010-0.156.030-9","R  COTOXO 00970","PERDIZES","850,00","848,59","887.625,14"
"1378","2009-0.189.039-8","R. PEDRO DOLL, 564","SANTANA","0,00","998,45","430.531,64"
"1379","2005-0.021.948-2","AL ITU 99999","JARDIM PAULISTA","1.096,00","1.642,44","2.298.594,78"
"1380","2010-0.203.551-8","R  MIGUEL MOTA 00303","AGUA RASA","849,19","456,41","55.727,66"
"1381","2010-0.193.235-4","AV CONCEICAO 01861 1867 1871 1873","VILA MEDEIROS","2.898,11","2.241,28","248.647,60"
"1382","2010-0.199.232-2","R  DOUTOR JESUINO MACIEL 01752","CAMPO BELO","2.266,54","3.399,81","2.270.393,12"
"1383","2009-0.370.839-2","AV VEREADOR JOAO DE LUCA 99999","JABAQUARA","3.243,00","3.664,91","807.408,99"
"1384","2010-0.173.623-7","R  DOUTOR JESUINO MACIEL 01654","CAMPO BELO","1.943,01","2.904,60","1.840.064,10"
"1385","2010-0.109.971-7","R  AMALIA DE NORONHA 00137 143,145,151,161","PINHEIROS","1.824,00","1.821,40","1.772.040,06"
"1386","2010-0.147.465-8","AV IRAI 00272","MOEMA","1.400,00","1.400,00","1.302.840,00"
"1387","2010-0.119.090-0","AV ENG. HEITOR ANTONIO EIRAS GARCIA 00587","BUTANTA","5.000,00","2.499,92","422.611,48"
"1388","2009-0.362.539-0","R  PADRE JOSE NATUZZI 00395","PIRITUBA","460,00","683,22","107.812,12"
"1389","2010-0.143.787-6","R  FRANCA PINTO 00380","VILA MARIANA","1.516,00","769,84","367.828,78"
"1390","2009-0.369.782-0","R  AUSONIA 00343","TUCURUVI","1.040,00","1.004,47","173.572,42"
"1391","2010-0.272.766-5","R  TERESINA 00645","AGUA RASA","2.019,62","1.009,80","140.564,16"
"1392","2008-0.104.451-7","AV PROFESSOR GIOIA MARTINS 99999","VILA SONIA","6.994,00","1.671,03","235.144,00"
"1393","2010-0.169.938-2","R  SANTA JUSTINA 00634","ITAIM BIBI","5.391,00","7.700,00","16.762.900,00"
"1394","2006-0.101.005-8","PC MANOEL VILAR 00235 VL JAGUARE","JAGUARE","403,00","21,48","3.763,30"
"1395","2010-0.128.914-1","R  FABIO JOSE BEZERRA 00000 LT 22 E 23 QD 8","ERMELINO MATARAZZO","1.265,60","632,48","40.605,22"
"1396","2010-0.258.292-6","R  ENG  GUILHERME CRISTIANO FRENDER 00926 E 948","ARICANDUVA","8.966,00","8.966,00","1.065.160,80"
"1397","2008-0.163.005-0","R  HENRIQUE SCHAUMANN 00566","JARDIM PAULISTA","1.771,14","1.616,23","2.830.341,98"
"1398","2010-0.177.583-6","R  JOAO SIMOES DE SOUZA 99999 LT.2 QD 140","VILA ANDRADE","5.236,70","2.806,47","338.550,09"
"1399","2010-0.112.978-0","AV BOSQUE DA SAUDE 99999","SAUDE","630,00","629,63","325.707,60"
"1400","2010-0.223.791-9","R  FRANCISCA DE PAULA 99999","CARRAO","1.500,00","749,97","53.097,88"
"1401","2010-0.196.128-1","R  JAGUARETE 00202","CASA VERDE","1.148,00","1.549,81","135.298,41"
"1402","2010-0.244.646-1","AV BRIGADEIRO FARIA LIMA 04045","ITAIM BIBI","668,04","1.002,06","5.763.047,47"
"1403","2004-0.297.828-1","R  CATULO DA PAIXAO CEARENSE 00244 244 A","SAUDE","907,58","1.815,16","487.370,46"
"1404","2009-0.352.367-8","R  CORONEL OSCAR PORTO 99999","VILA MARIANA","810,00","339,90","399.382,50"
"1405","2010-0.225.671-9","R  CAETANOS 00048","AGUA RASA","1.573,38","1.572,22","406.104,43"
"1406","2010-0.244.661-5","R  PROF ATILIO INNOCENTI 00488","ITAIM BIBI","2.301,05","3.451,57","7.224.136,01"
"1407","2009-0.169.384-3","R  RIBEIRO DE LIMA 00158 E 186","BOM RETIRO","3.260,37","2.265,04","0,00"
"1408","2010-0.167.255-7","R  DOMINGOS DE MORAIS 02742","SAUDE","1.632,57","1.102,15","630.705,34"
"1409","2010-0.111.385-0","R  OSCAR FREIRE 02615 E 2617","PINHEIROS","1.200,00","1.192,98","1.206.818,57"
"1410","2010-0.238.829-1","AV SAPOPEMBA 13370 LT 14 QD 3","SAO MATEUS","5.821,90","4.139,36","165.570,26"
"1411","2010-0.171.602-3","R  JOAO ANTONIO DE OLIVEIRA 00869 883","MOOCA","6.589,13","1.598,99","231.693,65"
"1412","2008-0.197.781-5","R  NEVES DE CARVALHO 00410 420 500 512 516","BOM RETIRO","12.384,65","9.598,04","1.704.611,90"
"1412","2008-0.197.781-5","R  NEVES DE CARVALHO 00410 420 500 512 516","BOM RETIRO","12.384,65","9.624,68","1.709.343,17"
"1413","2010-0.067.237-5","R  NAZIRA CARONE 99999 LTS 1 A 5 QD 1","VILA ANDRADE","2.193,37","1.096,68","207.491,86"
"1414","2008-0.350.073-0","AV DOUTOR GASTAO VIDIGAL 01007","VILA LEOPOLDINA","5.300,00","7.949,96","3.835.060,70"
"1415","2009-0.205.946-3","R  CORONEL GUSTAVO SANTIAGO 00107","TATUAPE","1.485,00","2.969,94","586.266,16"
"1416","2010-0.275.327-5","AV BRIGADEIRO FARIA LIMA 04091","ITAIM BIBI","3.220,24","4.830,36","27.780.366,43"
"1417","2010-0.054.508-0","R  ANTONIO DO CAMPO 99999","PEDREIRA","1.000,00","197,12","19.633,15"
"1418","2010-0.245.213-5","R JOAO GOMES JUNIOR 00300","BUTANTA","1.185,72","387,38","88.644,17"
"1419","2010-0.206.311-2","R  EMANUELE SAPORITI 00374","VILA MARIA","130,00","7,14","1.276,63"
"1420","2010-0.258.070-2","R  PANTOJO 00034 36 40","AGUA RASA","2.295,74","1.147,52","149.407,10"
"1421","2010-0.182.171-4","R  TEMPLARIOS 00275 FDS E 277","VILA FORMOSA","1.546,00","773,00","99.021,30"
"1422","2002-0.138.383-3","R  MOURATO COELHO 00224","PINHEIROS","1.625,00","213,38","117.401,68"
"1423","2010-0.177.288-8","R  CAPOTE VALENTE 00423","JARDIM PAULISTA","1.547,00","768,87","507.454,20"
"1424","2010-0.087.171-8","R  PEDRO TAQUES 00054","CONSOLACAO","1.021,00","2.042,00","1.503.728,80"
"1425","2009-0.360.013-3","AV LEONARDO DA VINCI 00343","JABAQUARA","1.137,00","568,40","99.924,72"
"1426","2007-0.302.449-0","R  RAIMUNDO SIMAO DE SOUZA 99999 LT 4 QD 25","VILA ANDRADE","24.042,34","11.991,03","2.326.259,82"
"1427","2010-0.072.605-0","R  DOUTOR ANTONIO BENTO 00417 419","SANTO AMARO","3.628,40","7.253,17","1.379.552,93"
"1428","2010-0.084.702-7","R  SAGUAIRU 00633","CASA VERDE","1.837,22","3.613,05","480.174,35"
"1429","2009-0.159.918-9","R  LOEFGREN 00680 692  696","VILA MARIANA","1.472,10","736,05","241.387,60"
"1430","2010-0.084.728-0","R  DANIEL MAROT 00064","SACOMA","3.122,50","6.224,91","797.410,97"
"1431","2010-0.238.712-0","R  ALMIRANTE GIACHETTA 00091","CARRAO","1.807,50","903,67","155.340,87"
"1432","2009-0.291.937-3","R  JACIRENDI 00477 REMANESCENTE","TATUAPE","7.275,56","1.305,35","182.292,13"
"1433","2010-0.130.100-1","R  FORTE WILLIAM 99999","VILA ANDRADE","3.269,50","2.474,79","683.913,17"
"1434","2009-0.199.813-0","R  HADDOCK LOBO 99999","JARDIM PAULISTA","1.130,50","1.655,48","2.508.466,07"
"1434","2009-0.199.813-0","R  HADDOCK LOBO 99999","JARDIM PAULISTA","1.130,50","605,52","967.802,62"
"1435","2005-0.021.120-1","R  ANDRE VIDAL 00014","TATUAPE","1.681,76","3.362,01","882.023,32"
"1436","2010-0.238.400-8","R  ELVIRA FERRAZ 00058","ITAIM BIBI","1.600,00","2.399,90","4.851.637,84"
"1437","2009-0.367.209-6","R  JOSE DA SILVA RIBEIRO 99999","VILA ANDRADE","7.761,39","3.686,60","343.591,12"
"1438","2009-0.341.280-9","R  OLIVIA GUEDES PENTEADO 00375 SL 01","SOCORRO","4.802,00","126,28","24.220,50"
"1439","2010-0.280.305-1","R  GUAIPA 00051 77","VILA LEOPOLDINA","1.785,00","1.785,00","846.804,00"
"1440","2008-0.313.236-7","R  DOUTOR CESAR 01151","SANTANA","2.662,35","3.993,39","2.348.113,32"
"1441","2010-0.139.880-3","R  PARIS 00281","PERDIZES","2.433,19","1.620,26","586.585,97"
"1442","2010-0.258.058-3","R AIMBERE 01638","PERDIZES","2.141,00","2.651,32","1.365.217,69"
"1443","2010-0.301.191-4","AV CORONEL JOSE PIRES DE ANDRADE 00363","SACOMA","2.000,00","3.996,86","551.166,99"
"1444","2009-0.372.303-0","AV QUEIROZ FILHO 99999","VILA LEOPOLDINA","25.204,20","5.883,39","3.892.450,82"
"1445","2010-0.048.407-2","R  MINISTRO JESUINO CARDOSO 00360","ITAIM BIBI","7.356,47","9.051,15","23.113.016,64"
"1446","2003-0.334.192-7","R  PEDRO DOLL 00310 FDS","SANTANA","1.890,00","285,00","73.615,50"
"1446","2003-0.334.192-7","R  PEDRO DOLL 00310 FDS","SANTANA","1.890,00","1.314,40","282.924,60"
"1447","2010-0.265.546-0","R  FERNANDO FALCAO 01137","AGUA RASA","3.909,80","1.950,80","300.813,36"
"1448","2010-0.314.199-0","AV REBOUCAS 01232 APTO 2","JARDIM PAULISTA","2.564,67","3.466,74","7.844.192,60"
"1449","2010-0.323.968-0","R  SAO MACARIO 00072","ALTO DE PINHEIROS","3.810,89","3.483,73","3.774.969,83"
"1449","2010-0.323.968-0","R  SAO MACARIO 00072","ALTO DE PINHEIROS","3.810,89","322,56","413.005,82"
"1450","2011-0.234.707-4","R  BALTAZAR NUNES 00355","ITAQUERA","1.978,00","1.401,95","82.434,66"
"1451","2010-0.241.770-4","R  DIAS DA SILVA 00824 E 824 FDS","VILA MARIA","2.250,00","4.500,00","471.150,00"
"1452","2009-0.206.175-1","R  EZEQUIEL FREIRE 00196 FDS E 196","SANTANA","1.512,50","2.268,74","1.195.852,85"
"1453","2008-0.317.991-6","R  ERNANI PINTO 00109 A-109 B E 111 A","VILA MARIA","6.999,63","9.397,63","1.461.519,42"
"1454","2009-0.142.477-0","AV MAZZEI 00292 E 296","TUCURUVI","2.566,27","1.309,34","248.774,60"
"1455","2010-0.171.878-6","R  JOSE DA SILVA RIBEIRO 99999","VILA ANDRADE","3.840,61","1.919,70","188.130,60"
"1456","2009-0.236.447-9","R HEITOR PENTEADO 99999 PT LT 363 QD 10","PERDIZES","490,00","735,00","565.656,00"
"1457","2010-0.155.789-8","AV JULIO BUONO 02315","VILA MEDEIROS","1.156,00","375,34","16.439,89"
"1458","2005-0.021.113-9","R  VERGUEIRO 00360","LIBERDADE","1.719,43","791,22","255.603,62"
"1458","2005-0.021.113-9","R  VERGUEIRO 00360","LIBERDADE","1.719,43","1.343,54","434.030,60"
"1459","2010-0.092.718-7","AV RAIMUNDO P.DE MAGALHAES 01465","PIRITUBA","45.599,00","14.378,26","3.401.896,32"
"1460","2010-0.059.718-7","R GUARARA 00471","JARDIM PAULISTA","995,55","497,08","569.454,85"
"1461","2010-0.233.446-9","R  JOSE DE OLIVEIRA COELHO 00060","VILA ANDRADE","3.598,00","2.619,28","350.040,58"
"1462","2010-0.193.349-0","R  APENINOS 00400 406 E 410","LIBERDADE","792,23","1.583,92","561.024,46"
"1463","2010-0.134.608-0","R  DONA GABRIELA 00163","TUCURUVI","1.457,50","2.914,95","279.835,20"
"1464","2010-0.191.584-0","R  AMERICO SAMARONE 99999","SACOMA","1.147,00","2.293,96","339.620,78"
"1465","2010-0.084.884-8","R  DEPUTADO JOAQUIM LIBANIO 00129","VILA MARIANA","2.659,00","2.657,10","1.559.584,85"
"1466","2010-0.246.018-9","R  DOMINGOS JOSE SAPIENZA 00231 V AMALIA","CACHOEIRINHA","2.083,30","778,08","102.542,23"
"1466","2010-0.246.018-9","R  DOMINGOS JOSE SAPIENZA 00231 V AMALIA","CACHOEIRINHA","2.083,30","1.469,38","107.582,13"
"1467","2010-0.091.024-1","R  ALCANTARILLA 99999 LT 11 QD 53","VILA ANDRADE","1.464,01","731,54","179.666,22"
"1468","2010-0.272.614-6","R  AMAPA 00170","AGUA RASA","4.255,00","2.076,50","275.966,85"
"1469","2010-0.272.632-4","R  CORUMBAIBA 00553","AGUA RASA","3.294,10","1.106,50","141.742,65"
"1470","2010-0.230.995-2","R  DOMINGOS AUGUSTO SETTI 00232 LT 7 QD 8","VILA MARIANA","2.000,00","1.984,41","1.653.013,53"
"1471","2010-0.113.006-1","AV TEN. LAUDELINO F. DO AMARAL 00768","VILA JACUI","1.500,00","284,92","31.797,07"
"1472","2010-0.166.917-3","R  IBITIRAMA 01813 1819","VILA PRUDENTE","2.100,00","2.094,01","266.358,07"
"1473","2010-0.084.063-4","R  BORGES LAGOA 00371","VILA MARIANA","711,33","81,41","94.191,37"
"1474","2009-0.216.622-7","R  DOM VILARES 00081 85","CURSINO","900,00","61,57","17.067,20"
"1475","2010-0.130.200-8","R  DOUTOR OLAVO EGIDIO 00768","SANTANA","1.900,00","2.850,00","1.356.600,00"
"1476","2007-0.266.780-0","R  FRANCISCO MARENGO 99999","TATUAPE","8.155,00","900,05","0,00"
"1477","2010-0.044.754-1","R  DIEGO DE CASTILHO 99999 LT 28 QD 3","VILA ANDRADE","2.744,70","1.372,28","386.982,96"
"1478","2010-0.268.004-9","R  WERNER VON SIEMENS 00111 R. EMB. MACEDO","LAPA","155.378,13","5.143,05","2.707.301,52"
"1479","2010-0.328.082-6","R  GALENO DE CASTRO 00730","CAMPO GRANDE","3.200,00","4.498,12","1.313.001,23"
"1480","2010-0.238.465-2","R PEREIRA ESTEFNO 00114","SAUDE","2.885,00","2.875,42","821.219,95"
"1481","2010-0.203.941-6","R  JOSE DE OLIVEIRA COELHO 99999 LT-5 QD-174","VILA ANDRADE","4.780,70","3.144,52","409.743,53"
"1482","2010-0.347.980-0","R  TITO 00678","LAPA","1.405,36","1.977,42","1.017.184,85"
"1483","2010-0.326.333-6","R  BARAO DE JUNDIAI 00468","LAPA","1.768,00","1.768,00","1.149.907,20"
"1484","2010-0.272.693-6","R  BELA CINTRA 00269 275 277","CONSOLACAO","1.111,03","2.222,06","1.608.771,44"
"1485","2010-0.109.239-9","R  PORTO ALEGRE 99999 52","AGUA RASA","1.261,00","600,64","81.086,40"
"1486","2010-0.197.072-8","R  JOSE RUFINO DA SILVA 00235 LT 1 QD F","CIDADE DUTRA","4.158,20","1.312,04","53.110,07"
"1487","2010-0.119.089-7","R  TURIASSU 01371 1379","PERDIZES","971,34","47,06","57.130,84"
"1488","2009-0.245.049-9","AV ENGO GEORGE CORBISIER 99999 LT 38 QD I","JABAQUARA","780,00","1.078,26","400.789,24"
"1489","2009-0.355.158-2","R  JULIO CONCEICAO 00737 E 775","BOM RETIRO","1.887,42","2.065,23","735.841,45"
"1490","2011-0.044.960-0","","SANTA CECILIA","0,00","61,24","0,00"
"1491","2010-0.108.560-0","R  JOSE NOBRE 00050 50 A","VILA MARIA","2.205,00","3.005,21","568.165,00"
"1492","2010-0.199.919-0","R  IRMAOS LEME 00059","TATUAPE","184,00","31,56","23.903,54"
"1493","2009-0.135.531-0","R  CAPITAO PEDRO CAPICO 00113","JAGUARA","136,50","7,42","1.344,50"
"1494","2005-0.020.859-6","AV DO CURSINO 99999","SACOMA","5.163,50","2.581,75","200.537,43"
"1495","2005-0.021.530-4","AV DO CURSINO 99999","SACOMA","5.488,30","2.071,05","170.965,18"
"1496","2010-0.243.184-7","R  ROMA 00056","LAPA","3.027,53","2.656,79","1.778.986,58"
"1497","2010-0.335.159-6","R  ARROIO GRANDE 00517 531","SACOMA","2.439,50","2.439,50","232.240,40"
"1498","2010-0.205.370-2","R  DOUTOR DIOGO DE FARIA 99999","VILA MARIANA","1.650,00","819,56","892.997,49"
"1499","2010-0.344.779-8","R  RUTH SALEM 00022 26","CARRAO","183,74","39,78","18.282,89"
"1500","2008-0.302.535-8","AV VITAL BRASIL 01000 ESQUINA COM","BUTANTA","11.104,85","2.712,60","821.429,53"
"1501","2010-0.270.401-0","AV MAZZEI 01113","TUCURUVI","3.600,00","1.796,86","187.592,18"
"1502","2010-0.349.894-5","R  VIEIRA DE MORAIS 02110","CAMPO BELO","1.560,00","3.120,00","1.917.864,00"
"1503","2009-0.280.876-8","R  ALFREDO MAIA 00106 184 E 194","BOM RETIRO","10.805,20","342,95","0,00"
"1504","2006-0.163.725-5","R LEOPOLDO DE BULHOES 00040","MOEMA","1.564,88","237,71","309.213,17"
"1505","2001-0.259.378-3","R  DA PAZ 00829","SANTO AMARO","607.875,00","338,01","146.885,63"
"1506","2010-0.177.169-5","R  DOUTOR RAFAEL DE BARROS 00210","VILA MARIANA","897,67","448,83","535.005,36"
"1507","2009-0.183.983-0","AV VITAL BRASIL 00283","BUTANTA","4.207,92","4.116,72","1.720.377,29"
"1508","2010-0.287.200-2","R  VERGUEIRO 00101 107","LIBERDADE","880,70","1.761,40","575.185,17"
"1509","2009-0.289.336-6","R  GUALAXO 00118","LIBERDADE","3.683,23","5.524,82","3.898.312,99"
"1510","2010-0.271.447-4","R  CARAMURU 99999","SAUDE","919,30","498,75","181.307,60"
"1511","2010-0.295.769-5","AV ELISIO TEIXEIRA LEITE 07564","JARAGUA","522,50","179,46","6.622,07"
"1512","2009-0.005.682-3","R  CURUENA 99999","VILA FORMOSA","2.531,20","1.265,01","94.116,74"
"1513","2010-0.162.649-0","R  TEODORO SAMPAIO 99999","JARDIM PAULISTA","1.106,83","1.546,17","2.154.897,13"
"1514","2007-0.375.715-2","R  BARONESA DE BELA VISTA 00389 353 411","CAMPO BELO","2.782,20","4.868,23","1.888.386,42"
"1515","2009-0.341.352-0","R  PIRACEMA 00236","SANTANA","3.260,39","1.630,10","264.076,20"
"1516","2010-0.210.935-0","ES DE ITAPECERICA 99999 1470","JARDIM SAO LUIS","6.551,93","30,72","930,82"
"1516","2010-0.210.935-0","ES DE ITAPECERICA 99999 1470","JARDIM SAO LUIS","6.551,93","1.179,00","49.730,22"
"1517","2008-0.319.514-8","AV TIRADENTES 00952 /952A","BOM RETIRO","3.049,12","3.068,39","828.434,62"
"1518","2010-0.057.621-0","R  JOSE RAMON URTIZA 00360 LT 18 QD 49 VL A","VILA ANDRADE","412,00","80,15","33.438,58"
"1519","2010-0.201.221-6","R  FRADIQUE COUTINHO 01134","PINHEIROS","2.141,00","1.597,34","1.663.310,14"
"1519","2010-0.201.221-6","R  FRADIQUE COUTINHO 01134","PINHEIROS","2.141,00","543,66","440.310,23"
"1520","2009-0.295.600-7","R VOLUNTARIOS DA PATRIA 00636 CS 12 E 12 A","SANTANA","2.874,83","5.749,58","1.460.968,28"
"1521","2010-0.334.760-2","R  BENEDITO FERNANDES 99999","SANTO AMARO","4.040,17","6.029,75","2.677.209,00"
"1522","2007-0.137.456-6","AV BENEDITO ANDRADE 00276 278","PIRITUBA","1.304,00","405,00","85.050,00"
"1523","2011-0.291.296-0","R  VERGUEIRO 03558","VILA MARIANA","2.366,38","2.366,30","1.930.900,80"
"1524","2010-0.280.766-9","R  PADRE BENEDITO DE CAMARGO 00336 332","PENHA","1.500,00","738,81","130.326,08"
"1525","2010-0.316.536-9","R GEOLANDIA 00000 LT 35","VILA MEDEIROS","1.374,00","2.673,28","230.971,39"
"1526","2010-0.079.121-8","R  DA ESPERANCA 00091","TUCURUVI","1.500,00","246,95","51.711,33"
"1527","2009-0.333.075-6","R  DOUTOR NATALINO RIGHETO 00192","TUCURUVI","500,52","498,72","156.498,34"
"1528","2008-0.319.469-9","R  AZEVEDO MACEDO 00113","VILA MARIANA","2.656,00","1.176,84","1.056.096,22"
"1529","2010-0.349.574-1","AV JABAQUARA 01771 1771 FDS 1775","SAUDE","1.425,00","1.425,00","709.721,25"
"1530","2009-0.245.328-5","R  DOMINGOS JOSE SAPIENZA 00101","CACHOEIRINHA","6.000,00","2.993,46","310.346,97"
"1531","2010-0.343.700-8","R  DOMICIANO LEITE RIBEIRO 00802 E 804","JABAQUARA","900,00","295,56","48.790,45"
"1532","2010-0.351.401-0","R  CARDEAL ARCOVERDE 00359","JARDIM PAULISTA","982,80","491,40","456.756,30"
"1533","2010-0.174.037-4","AV PROF FRANCISCO MORATO 03741 3743 CJ 1 E 2","VILA SONIA","990,00","1.979,78","272.714,70"
"1534","2010-0.202.631-4","R  VENANCIO AIRES 00658 678 E 702","PERDIZES","2.900,00","4.349,77","1.155.298,91"
"1535","2010-0.275.274-0","R  AUGUSTA 00664","CONSOLACAO","1.644,88","3.289,16","2.660.272,61"
"1536","2010-0.237.593-9","R  ASCENCIONAL 99999 LT13 QDJ","VILA ANDRADE","1.600,00","796,16","179.613,70"
"1537","2010-0.197.019-1","R  BIOBEDAS 00049","SAUDE","1.067,80","531,40","153.069,77"
"1538","2009-0.373.608-6","R  OSCAR FREIRE 01138 E 1142","JARDIM PAULISTA","676,00","223,02","734.494,07"
"1539","2009-0.369.265-8","R  CURITIBA 00411","MOEMA","855,20","736,19","1.487.251,04"
"1540","2009-0.293.614-6","R  DIAS DE TOLEDO 00084","SAUDE","1.360,00","679,99","173.737,45"
"1541","2010-0.159.427-0","AV RIO DAS PEDRAS 01320","ARICANDUVA","3.000,00","5.114,84","446.065,20"
"1542","2009-0.375.299-5","R  TEIXEIRA MENDES 00170 140","CAMBUCI","1.724,86","926,58","245.821,67"
